"","time","EL","LL","PL","SV","EV","IV"
"281",280,6.52206995133811,3.5389876682854,0.532618255943646,0.343870242240255,0.00153184829442326,8.97974341001691e-09
"282",281,6.35248876123734,3.44698570272907,0.518771766770422,0.334930466690281,0.0014920232378423,8.74622375813091e-09
"283",282,6.18732128362825,3.35737747834422,0.505285549779708,0.326223304276886,0.00145323447059926,8.51878381008375e-09
"284",283,6.02645241590813,3.27010061154553,0.492150215406323,0.317742692083486,0.00141545498037562,8.29726492161099e-09
"285",284,5.86977006878038,3.18509434978473,0.479356619601967,0.309482725749037,0.00137865846137751,8.08151260652954e-09
"286",285,5.71716508677269,3.10229952863741,0.466895857374357,0.301437655294387,0.00134281929573246,7.87137642681018e-09
"287",286,5.56853117088219,3.0216585300327,0.454759256498481,0.293601881059894,0.00130791253538237,7.66670988560451e-09
"288",287,5.42376480328907,2.94311524159461,0.442938371395295,0.28596994975124,0.00127391388445896,7.46737032314449e-09
"289",288,5.28276517408197,2.86661501706487,0.431424977173287,0.278536550590534,0.00124079968212879,7.27321881543491e-09
"290",289,5.14543410993987,2.79210463777781,0.420211063828487,0.271296511569797,0.00120854688589482,7.08412007566199e-09
"291",290,5.01167600471704,2.71953227515875,0.409288830598608,0.264244795804069,0.0011771330553423,6.89994235824307e-09
"292",291,4.88139775187887,2.648847454218,0.398650680467153,0.257376497981429,0.0011465363363167,6.72055736544471e-09
"293",292,4.75450867873819,2.58000101801376,0.388289214813391,0.250686840907278,0.00111673544552205,6.54584015649821e-09
"294",293,4.63092048244282,2.51294509305749,0.378197228204294,0.244171172140366,0.00108770965552832,6.37566905914432e-09
"295",294,4.51054716766673,2.44763305563635,0.368367703324564,0.237824960718043,0.00105943878017667,6.2099255835404e-09
"296",295,4.3933049859584,2.38401949902788,0.358793806041023,0.231643793968347,0.00103190316037186,6.04849433846544e-09
